design_no,laminate_code,page_no,assigned_value,finish_name,laminate
8008 (2),NM,26,80082,matt,solidcolor
8009 (2),NM,26,80092,matt,solidcolor
8010 (2),NM,26,80101,matt,solidcolor
8011 (2),NM,26,80112,matt,solidcolor
8012 (2),NM,26,80122,matt,solidcolor
8001 (2),NM-BL,26,80011,matt,leather solidcolor
8002 (2),NM-BL,26,80021,matt,leather solidcolor
8007 (2),NM-BL,26,80072,matt,leather solidcolor
8008 (2),NM-BL,26,80081,matt,leather solidcolor
8009 (2),NM-BL,26,80091,matt,leather solidcolor
8010 (2),NM-BL,26,80102,matt,leather solidcolor
8011 (2),NM-BL,26,80111,matt,leather solidcolor
8012 (2),NM-BL,26,80121,matt,leather solidcolor
1691,OC,38,1691,glossy,vibrant
1692,OC,38,1692,matt,vibrant
1595,OP,57,1595,,verticalwood
1597,OP,57,1597,,verticalwood
1598,OP,57,1598,,verticalwood exoticwood
1601,OP,57,1601,,verticalwood exoticwood
1602,OP,57,1602,,verticalwood exoticwood
1603,OP,57,1603,,verticalwood exoticwood
1612,OP,57,1612,,verticalwood exoticwood
1631,OP,57,1631,,verticalwood exoticwood
1632,OP,57,1632,,verticalwood exoticwood
1520,OR,27,1520,,stone
1521,OR,27,1521,,stone
1522,OR,27,1522,,stone
1523,OR,27,1523,,stone
1605,OR,27,1605,,stone
1613 (2),OR,27,16131,,stone
1742,OR,27,1742,,
1106 (3),PD,35,11061,glossy,stone solidcolor
1123 (4),PD,35,11233,glossy,stone solidcolor
1172 (2),PD,35,11722,glossy,stone solidcolor
1370 (2),PD,35,13701,glossy,stone
260,PT,67,260,,verticalwood
27 (3),PU,73,272,glossy,
58 (2),PU,73,582,glossy,
60 (2),PU,73,60200,glossy,
129 (3),PU,78,1292,glossy,solidcolor
132 (9),PU,78,1327,glossy,solidcolor
138 (2),PU,78,1381,glossy,solidcolor
231 (2),PU,78,2311,glossy,solidcolor
236 (2),PU,78,2361,glossy,solidcolor
242 (2),PU,78,2421,,
